                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 2.2265,                 1.5254,                 1.1865,                 0.2637,                0.19683,                0.16137,                0.05297,                 2.6905,                  1.884,                  1.359,             0.00054478,             0.00054478,             0.00054478
                     70,                 2.2432,                 1.5108,                 1.1759,                0.26333,                0.19949,                0.16632,                0.05515,                 2.6528,                 1.8685,                 1.3503,             0.00052827,             0.00052827,             0.00052827
                     71,                 2.2465,                  1.504,                 1.1638,                0.31349,                0.19649,                0.16287,                0.05306,                 2.6934,                 1.8854,                 1.3766,             0.00051177,             0.00051177,             0.00051177
                     72,                 2.2423,                 1.5198,                  1.182,                0.27086,                 0.2138,                0.15818,                0.05245,                 2.6621,                 1.8838,                  1.355,             0.00049527,             0.00049527,             0.00049527
                     73,                 2.2447,                 1.5129,                 1.1769,                0.28885,                0.18895,                0.16189,                0.05302,                 2.6652,                 1.9048,                 1.3629,             0.00047876,             0.00047876,             0.00047876
                     74,                 2.2289,                 1.4914,                  1.174,                0.27601,                0.21679,                 0.1545,                0.05243,                 2.6514,                 1.8833,                 1.3546,             0.00046226,             0.00046226,             0.00046226
                     75,                 2.2334,                  1.495,                 1.1645,                0.31135,                0.18254,                0.16389,                0.05517,                  2.676,                 1.8286,                 1.3575,             0.00044576,             0.00044576,             0.00044576
                     76,                 2.2261,                 1.5001,                  1.164,                0.32685,                0.19371,                0.16318,                0.05313,                   2.64,                 1.8901,                 1.3473,             0.00042925,             0.00042925,             0.00042925
                     77,                  2.207,                 1.4529,                 1.1439,                0.28634,                0.19887,                0.16459,                0.05417,                 2.6476,                 1.8365,                 1.3474,             0.00041275,             0.00041275,             0.00041275
                     78,                 2.2011,                 1.4521,                  1.153,                 0.3261,                0.20286,                 0.1739,                0.05686,                  2.635,                  1.845,                 1.3381,             0.00039625,             0.00039625,             0.00039625
                     79,                 2.1983,                 1.4757,                 1.1525,                0.28103,                0.21276,                0.17454,                0.05732,                 2.6367,                 1.8416,                 1.3466,             0.00037974,             0.00037974,             0.00037974
